run,seed,size,algo,impl,heuristic,dup,shuffle,max_nodes,max_bytes,status,solution_len,optimal,generated,expanded,duplicates,improved,open_max,closed,bytes_peak,hash_probes,iterations,last_iter_generated,max_depth,seconds
4,5,4,astar,fast,manhattan,gcompare,140,0,536870912,ok,52,-1,2167931,730806,844094,40452,593031,1323837,88868112,1.390,0,0,0,0.420575000
5,6,4,astar,fast,manhattan,gcompare,140,0,536870912,ok,56,-1,3274256,1123090,1268003,56026,883163,2006253,121505704,1.391,0,0,0,0.711112000
6,7,4,astar,fast,manhattan,gcompare,140,0,536870912,ok,42,-1,737311,241862,278980,10919,216469,458331,28312000,1.433,0,0,0,0.080114000
7,8,4,astar,fast,manhattan,gcompare,140,0,536870912,ok,52,-1,13659720,4600921,5423854,256387,3634945,8235866,496246640,1.448,0,0,0,3.969681000
8,9,4,astar,fast,manhattan,gcompare,140,0,536870912,ok,46,-1,3111694,1032368,1218599,52697,860727,1893095,116393792,1.443,0,0,0,0.658241000
9,10,4,astar,fast,manhattan,gcompare,140,0,536870912,aborted,-1,-1,13760206,4582035,5371596,223546,3806575,8388610,570826760,1.486,0,0,0,4.786831000
0,1,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,44,-1,1732556,883460,0,0,44,0,736,0.000,7,1300679,43,0.025748000
1,2,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,42,-1,295360,146406,0,0,42,0,728,0.000,7,127108,41,0.004416000
2,3,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,52,-1,322034775,157961687,0,0,52,0,768,0.000,9,232200830,51,4.557664000
3,4,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,38,-1,1089119,531251,0,0,38,0,712,0.000,9,782873,37,0.015354000
4,5,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,52,-1,19134973,9590175,0,0,52,0,768,0.000,7,13519842,51,0.271433000
5,6,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,56,-1,43781015,22624881,0,0,56,0,784,0.000,7,37809208,55,0.620823000
6,7,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,42,-1,5665423,2724425,0,0,42,0,728,0.000,8,3876092,41,0.079355000
7,8,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,52,-1,92002540,46360124,0,0,52,0,768,0.000,9,44717933,51,1.288045000
8,9,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,46,-1,13344193,6588887,0,0,46,0,744,0.000,9,3980560,45,0.184043000
9,10,4,ida,n/a,manhattan,gcompare,140,4000000000,0,ok,56,-1,893923216,444212931,0,0,56,0,784,0.000,11,392386280,55,12.380574000
0,1,4,astar,fast,manhattan,gcompare,200,0,536870912,ok,54,-1,8502490,2870237,3292183,139854,2340070,5210307,351146984,1.390,0,0,0,3.122405000
1,2,4,astar,fast,manhattan,gcompare,200,0,536870912,ok,40,-1,99021,32556,36493,1312,29972,62528,3932224,1.420,0,0,0,0.008335000
2,3,4,astar,fast,manhattan,gcompare,200,0,536870912,aborted,-1,-1,13877784,4578617,5489175,271513,3809992,8388609,570826760,1.483,0,0,0,5.904440000
3,4,4,astar,fast,manhattan,gcompare,200,0,536870912,ok,48,-1,8265788,2734030,3276025,142820,2255733,4989763,340529936,1.452,0,0,0,2.658643000
4,5,4,astar,fast,manhattan,gcompare,200,0,536870912,ok,48,-1,3414918,1137401,1318949,56830,958568,2095969,125831168,1.457,0,0,0,0.790402000
5,6,4,astar,fast,manhattan,gcompare,200,0,536870912,aborted,-1,-1,13852454,4716942,5463845,239512,3671667,8388609,570826760,1.443,0,0,0,4.865503000
6,7,4,astar,fast,manhattan,gcompare,200,0,536870912,aborted,-1,-1,13792448,4598427,5403838,240936,3790183,8388610,570826760,1.476,0,0,0,5.017283000
7,8,4,astar,fast,manhattan,gcompare,200,0,536870912,ok,52,-1,1334910,448744,508946,20635,377220,825964,52298536,1.397,0,0,0,0.218447000
8,9,4,astar,fast,manhattan,gcompare,200,0,536870912,aborted,-1,-1,14005558,4636873,5616948,223764,3751737,8388610,570826760,1.528,0,0,0,4.655347000
9,10,4,astar,fast,manhattan,gcompare,200,0,536870912,aborted,-1,-1,13508538,4531536,5119929,195203,3857073,8388609,570826760,1.451,0,0,0,4.502367000
0,1,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,54,-1,26469851,13482184,0,0,54,0,776,0.000,7,8427118,53,0.378148000
1,2,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,40,-1,476984,231157,0,0,40,0,720,0.000,6,332191,39,0.006818000
2,3,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,52,-1,215646174,104015172,0,0,52,0,768,0.000,10,155216586,51,3.141580000
3,4,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,48,-1,78057633,38150941,0,0,48,0,752,0.000,11,48151307,47,1.135744000
4,5,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,48,-1,27516177,13720448,0,0,48,0,752,0.000,9,19978844,47,0.391162000
5,6,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,60,-1,762502461,395371953,0,0,60,0,800,0.000,9,458172288,59,11.144809000
6,7,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,56,-1,238995773,119552276,0,0,56,0,784,0.000,10,89163235,55,3.443306000
7,8,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,52,-1,7280773,3673761,0,0,52,0,768,0.000,7,5177104,51,0.101698000
8,9,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,48,-1,109727527,54228083,0,0,48,0,752,0.000,12,32965738,47,1.533583000
9,10,4,ida,n/a,manhattan,gcompare,200,4000000000,0,ok,64,-1,2216437817,1105996036,0,0,64,0,816,0.000,10,875555167,63,34.120209000
