run,seed,size,algo,impl,heuristic,dup,shuffle,max_nodes,max_bytes,status,solution_len,optimal,generated,expanded,duplicates,improved,open_max,closed,bytes_peak,hash_probes,iterations,last_iter_generated,max_depth,seconds
102,103,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1469,548,603,8,318,549,63291,0.000,0,0,0,0.001323000
103,104,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1037,385,435,6,217,386,44019,0.000,0,0,0,0.000673000
104,105,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,6293,2356,2666,56,1271,2357,264844,0.000,0,0,0,0.031968000
105,106,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1365,512,562,5,291,513,58692,0.000,0,0,0,0.001175000
106,107,3,astar,list,manhattan,gcompare,200,0,0,ok,14,-1,58,21,20,0,17,22,2774,0.000,0,0,0,0.000006000
107,108,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1446,544,590,7,312,545,62488,0.000,0,0,0,0.001605000
108,109,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,9316,3485,3966,58,1865,3486,390623,0.000,0,0,0,0.070572000
109,110,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,2085,778,859,8,449,779,89498,0.000,0,0,0,0.002613000
110,111,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,11783,4407,5118,125,2258,4408,486618,0.000,0,0,0,0.113064000
111,112,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,6419,2415,2722,64,1282,2416,269954,0.000,0,0,0,0.033598000
112,113,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,93,34,33,0,26,35,4380,0.000,0,0,0,0.000013000
113,114,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,10527,3955,4501,76,2071,3956,439898,0.000,0,0,0,0.091641000
114,115,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3140,1172,1321,16,647,1173,132787,0.000,0,0,0,0.005950000
115,116,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1158,432,473,7,254,433,50005,0.000,0,0,0,0.000847000
116,117,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2059,769,836,11,454,770,89352,0.000,0,0,0,0.002605000
117,118,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,3233,1223,1336,19,674,1224,138554,0.000,0,0,0,0.006562000
118,119,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,3962,1488,1681,31,793,1489,166513,0.000,0,0,0,0.010650000
119,120,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,4476,1671,1849,21,956,1672,191844,0.000,0,0,0,0.014986000
120,121,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,705,263,278,3,164,264,31171,0.000,0,0,0,0.000341000
121,122,3,astar,list,manhattan,gcompare,200,0,0,ok,16,-1,371,137,145,2,89,138,16571,0.000,0,0,0,0.000108000
122,123,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,8358,3129,3587,63,1642,3130,348283,0.000,0,0,0,0.053563000
123,124,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3007,1129,1249,20,629,1130,128334,0.000,0,0,0,0.005459000
124,125,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,3199,1201,1320,22,678,1202,137167,0.000,0,0,0,0.006428000
125,126,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3172,1185,1299,23,688,1186,136802,0.000,0,0,0,0.006115000
126,127,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1846,690,745,8,411,691,80373,0.000,0,0,0,0.002097000
127,128,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,4460,1674,1874,39,912,1675,188851,0.000,0,0,0,0.013648000
128,129,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,8211,3097,3473,55,1641,3098,345874,0.000,0,0,0,0.051428000
129,130,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,786,291,316,8,179,292,34383,0.000,0,0,0,0.000419000
130,131,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,2159,804,869,6,486,805,94170,0.000,0,0,0,0.002838000
131,132,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,12191,4588,5292,110,2311,4589,503627,0.000,0,0,0,0.122840000
132,133,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1857,692,766,9,399,693,79716,0.000,0,0,0,0.002091000
